sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
C3-C21-C3hj-C3an,871435,-0.025878584624019114,-0.006307606318033751,-0.00343381515104261,-0.0014509568793961561,0.0027458085990108793,-0.000890606118189841,0.0009951142703367697,0.0003319469955084378,0.0005202397556397925,-2.0889400638656978e-05,0.0017091270021879902,-0.001430922364858103,-4.229898680388042e-06,9.926597163879558e-05,-0.00014342399730689752,2.3130878666962757e-05,2.766053992760551e-05,4.109104158977641e-06,0.0013989939059443227,0.0005615955626722906,0.00023939188318198684,0.0005950966953894715,2.110072280717988e-05,0.0013046062810173808,0.0005888530600988741,3.112594204726174e-07,-4.095519428057785e-07,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3xs-C3yu-C21-C3zt,871438,-0.041572607701469824,-0.002343998501789767,-0.014134880076147808,-0.0004255581946514526,-0.025779236300722944,-0.003515012529574249,-0.005466149228727126,0.012355350835669344,0.010911910791233876,0.021594874927627464,-0.015419102745441417,-0.004724708562087521,-5.322150408034831e-06,-0.00014997487597426796,-0.0003220858846089226,-1.6730229627552783e-05,-4.417375755488474e-05,0.0005253866397435906,0.0004585391108705121,0.00017611937271745334,2.5143229765968102e-05,-0.0005469360761157946,-3.455884984566642e-05,-3.5960025106361625e-05,1.112103531914847e-05,-1.9748928101745574e-05,1.2380310418525338e-05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3hj-C21-C3xs-C3yu,871440,-0.02938200380082029,-0.005419647773487104,-0.005842498427713993,-0.001214557729164342,-0.003929477732385929,-0.0015085544131105124,-0.0007117651093626205,0.003321729901389116,0.0030734245484323663,0.005286013930926974,-0.0026701913937265485,-0.0037420801192026283,-9.121849909415813e-06,5.318132061399911e-05,-0.0006755206615062345,2.7473468569878203e-05,4.397908681642079e-05,1.8376402090795265e-05,0.0009286450690461338,0.0005441474205962811,0.0002132652928560847,0.00020182169045114697,8.14053751581986e-06,0.00028315214663730517,-5.369686149585146e-05,7.714456911514784e-05,-4.75503014135068e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3ga,869982,-0.028664431514245373,-0.005520090078372795,-0.005022293648790664,-0.0012688384979298432,9.289316523517327e-05,-0.0010288141260393214,0.0018086933018829695,8.087115966187112e-05,0.0007723516299039923,0.0008191690755496265,0.0009555917574659348,-0.0008832614721173852,-1.1607011499511349e-05,0.00014600530304152118,6.480715934896475e-06,1.5028784174579457e-05,0.00012217538210002854,-0.0013022536032482148,-0.002268565240474389,-0.00836597927789798,-0.0027579781961305843,-7.341289236485914e-05,-2.8053761030605583e-05,0.000205744221140426,-1.2017892448705165e-05,-8.504242276459045e-08,1.184027173702158e-07,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C1b,870531,0.005717170890708635,0.0013592482340324462,0.0020750268681864717,-0.0009384475409186613,0.002751588929932597,-0.000216765465164727,-0.002765469536603305,-0.002572719065889649,-0.0017959457507243767,-0.0004216338418629483,0.0011296094850256025,-0.001683456032208335,0.00017469741967167038,0.000619837133457757,-0.00022411882043230365,-0.0015773880521410106,-0.0006478870818277377,-0.002584002481232867,0.0011223056197798562,0.00022574033393609892,0.0003584450925439417,0.0010800604649285645,-0.0019759199000268595,6.81080298839181e-05,-7.595045038847124e-06,1.1326970069776331e-05,1.8933650735960249e-06,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3de-C3bb-C21ae-C3an-C3s-C21-C3dk,871064,-0.03513833181256473,-0.0037962068356652296,-0.011934484529150587,-0.0012674741950609676,-0.0010314019619491743,-0.0012505444261992106,0.0031526788582389095,-0.00019924179834720677,0.0020796924680062195,0.0038284254368912106,0.0006084510328073266,0.020819915674730547,6.462613736034067e-05,-0.00033440693787140807,-0.006560333402576383,0.00015209619280427713,0.00012556702720951243,0.0010914960467140941,0.0038015507525048105,-0.00042414644032353336,-0.00011480644882340842,-9.415115941350124e-05,-1.3994329233700297e-05,0.00033884973744506585,0.0001341831817828783,-5.1809183644920225e-08,4.0332619624351905e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3fc-C21-C3an-C3b-C3bb-C3s,871067,-0.03088898572558507,-0.0050352881683596576,-0.006392195074773411,-0.001194283758774999,-0.0019845817440178825,-0.001242721444055083,0.002769462653361564,-0.00011804788282394137,0.0014461187459973834,0.0023642730089252586,0.000714570526327441,0.007852079803102688,1.3980330913303644e-05,9.505704241162531e-05,0.01134717481890019,-0.00028940649344610226,-0.00048153325474292144,5.796997828806002e-05,-0.0023056578684878346,0.0007959363753377298,0.00019134884305417707,-9.422795676506937e-05,-1.9544451344182282e-05,0.0002617932423196678,0.0008368796425697908,4.912709319476854e-08,4.0667256303996874e-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3xx-C3cl,871071,-0.03000428971397728,-0.005192172447442037,-0.005844516327083353,-0.0012073808084260536,-0.001181591185449047,-0.001136063276536908,0.002339166194430584,-4.346803920684037e-05,0.0011125286652097946,0.0016645359441829096,0.0006854188764352424,0.0038259306346842365,2.874198035495779e-06,3.238028219974153e-05,-0.005287029110945567,0.00014497327298555718,0.00036919612059527283,-0.0026734783767729323,-0.010072249656874288,0.0022140473276960225,0.000597836422147092,0.00017648826344650792,-1.058743817745312e-06,-7.68980999682872e-05,-9.111713324588948e-05,-3.3632998515731257e-08,6.646296105018957e-08,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1b/C1/C3-C1u,869025,0.01531200911565536,0.009338563957988941,0.004045290659134363,-0.0005870606889585686,0.0031976414000395724,-0.0015317250177431406,0.0012192431683712957,0.005836446257709042,-0.00563128363286737,-0.004164325917034131,-0.005305161922295439,-0.00016325589720560358,0.0009058872829413636,-0.013062121199663277,-0.0002900668298229674,-0.008802190338373659,-0.000995064684058351,0.0018667489087421084,-0.000442746086352694,0.000334275960190022,-0.0012177208459468406,-0.0002552386336182589,-0.0005509295482170498,-2.6011979876957087e-05,1.0502456247946294e-06,2.0406691437227933e-06,6.61850573637716e-07,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C21-C3hj,870080,-0.025273248814719616,-0.006454189777611718,-0.0030626262190823926,-0.0014774492958618186,0.003313210182311833,-0.0008414469601718512,0.000758250169233094,0.00038726040360909407,0.00036944515884536247,-0.00038769346600164975,0.0018112537422810653,-0.003408799481548327,-9.9485636037027e-06,0.0001281112847341989,-0.0007923336183646359,4.37929590078135e-05,7.481991690756901e-05,-0.000188562221810702,0.001104914312760246,0.0006671794266911662,0.00028427288090991594,0.0007665156290450235,5.2553862769319336e-05,0.0004005435571963865,-7.979832049357277e-05,2.096152514588495e-05,-3.0150353002597318e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21/C3,870082,-0.02529065173735515,-0.006458090013616304,-0.003057062474903738,-0.001477120349625774,0.003300945341184179,-0.0008428586216644591,0.0007621791988908232,0.0003906520496445632,0.00036234093598815255,-0.00040302335513298776,0.0018164387654275628,-0.0034117251189873777,-9.704737102177839e-06,0.0001300454631812028,-0.0007913183216410826,4.431669748851417e-05,7.494520513972293e-05,-0.00019417416708615473,0.0011203512570936605,0.0006707206226765946,0.000288188600272856,0.0007981354704628378,6.219518930232005e-05,0.00038677606402733766,-7.5945152451094e-05,-0.00011549364950357042,9.231971290918151e-05,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3b-C3-C21-C3ag-C3bb,869067,-0.02706330605448465,-0.005992995623987177,-0.004102802904885809,-0.0013801312874760481,0.0016305111898780845,-0.0009582652529509688,0.0013664251969520513,0.0002343556117194475,0.0006595963721153038,0.00039410098229713294,0.0014349789569522238,-0.0001521011791653267,-2.0961255257557366e-06,8.754397800250987e-05,-0.0003315123236141287,2.5464636579181138e-05,4.445691326014219e-05,-9.82499784963628e-05,0.0012792963508172575,6.969877758632525e-06,8.103928518510015e-05,0.0006684963400924115,0.0001306530146807721,-0.0038463177887307644,0.0002745766798901811,7.878603509027319e-07,-5.055142624918244e-07,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C41-C1-C41b,871645,0.0011347427084212251,0.028467728884312236,0.0063018375360982025,-0.0016057642664866684,-0.0033550038970514167,0.005247974028873992,-0.007520322477887411,-0.016291059758047323,0.00042840987081641397,0.0035958946824333512,0.003541089403066358,-0.0007817431211968006,0.00045924631048601023,0.00574952058875323,-0.0004494345693971479,-0.0046094425687205325,-0.0037789845105299013,0.0009738511568539984,-0.0001543492482601063,5.52941854953267e-05,-0.0001803295317713598,-7.473522352429392e-05,-0.0008525967217613256,-1.7591857006906763e-05,4.7142882270494645e-07,6.840782173669552e-07,2.657358627820131e-07,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C42.2-C3gl-C3gm-C1dl,870110,-0.002440771038943026,-0.0026556067468592338,-0.0012310387312684786,0.00105483050439674,-0.0009647041428303667,0.0018690377368864855,-0.005670294968249332,-0.007872464728543865,-0.00319761528425919,-0.0025049473487119005,-0.0007454123131440625,-0.0019200433335741318,-0.0002810061491419859,0.0018196114649649691,-0.0007076706990543621,0.0030730001820300336,0.00036176194361265876,0.008619951165954511,-0.0013797014048609704,0.0006837348045958182,-0.0023174020416720804,2.8745875437379307e-05,-0.0005261061165857224,-1.179543365591809e-05,1.299923164018314e-06,3.1133935582448445e-06,8.323524168477508e-07,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16/C3-C16b,870119,-0.08585059493523112,-0.02935181511679905,0.05431642615811897,-0.0007679592962091133,0.01174283347952073,0.0005479107873291669,-0.0018743480896148829,0.0005059015155328532,-0.00023405369547401726,-0.0007514148371119858,0.0005840942018887446,-0.0011134792768553677,-8.882867445865322e-07,1.3761694983760898e-05,-0.0001690069451812913,2.9164313454548984e-06,4.874496260899255e-06,2.18771520696378e-05,0.0002481958823763918,0.00012208184203913792,4.364071365303476e-05,9.5903302018787e-05,-1.1629335121782782e-05,4.749118391269792e-05,-6.250865803649822e-06,2.9441679153801074e-05,4.018859482678745e-05,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21-C3b,869099,-0.025273570620161112,-0.0064542400457571845,-0.003062682184935918,-0.001477474990836863,0.0033137235433378385,-0.000841412770124459,0.0007582265434007267,0.0003872329406034258,0.000369373700703228,-0.00038770841220515603,0.0018107596173506091,-0.0034073638922214166,-9.894737561052174e-06,0.00012795691671423727,-0.0007905617911397367,4.3073348544143673e-05,7.467276082069569e-05,-0.00019183114574068655,0.0011060075074730907,0.0006662258305871641,0.00028581942027998,0.000768726483686445,5.42235751575036e-05,0.00039810421730464415,-8.21156323462472e-05,6.366573805834371e-06,-2.1595230383841134e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C1-C6a-C3y,869147,-0.02054140783794271,-0.004033768763561187,-0.0033277108074324098,-0.0008733737536930907,-0.001291744934006373,-0.00039244459636847976,-0.002948052778932488,-0.00013556755001405796,-0.0016653336015339485,-0.0035813424175717033,0.003706801040498657,-0.0021560686482283054,-3.35680287883198e-05,0.00021674111740210437,-0.0005513499649450812,1.0531294284770697e-05,0.00022507262959986155,-0.0009179985604320856,0.0008280852115892879,0.0005176139795129249,0.000533934622447812,-0.00630114399444407,0.00039450422093790323,-5.940895321120254e-05,8.877836017599897e-08,-3.4721505760016477e-06,1.519770882174122e-06,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C46/C3,871209,0.02486565866623025,-0.021812533986435567,-0.009144803307584132,0.017334843812221463,-0.012341985875086291,0.017161444646879246,-0.016418452909711254,-0.03703864217056638,0.005001121174586918,0.005099783910784183,0.005547557483739389,-0.0008834931693218579,-0.0005611170032181833,-0.003732393263015025,0.0001366532488077372,0.00077457788503624,0.0013851099151951482,-0.00043538427851031033,6.422975911089087e-05,-0.0001820956434002395,0.0005213108348986679,-4.63978310671856e-05,-5.4146713084737105e-05,-5.191646876804123e-06,-6.083137699038466e-08,1.0113053554472938e-06,2.3627169692165377e-07,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,871767,-0.025268100364738408,-0.006452564317444744,-0.003064016396298233,-0.0014784483727688677,0.003318660836465358,-0.000842426411509974,0.000756815286343379,0.0003844356674342253,0.00037039582001607136,-0.0003882017533249429,0.001812268303115125,-0.0034105491165951486,-1.0662690342515194e-05,0.00012695259238908549,-0.0007920365333795643,4.01948544175549e-05,7.476561261235269e-05,-0.0001969017761121309,0.001102688063116209,0.0006626106287110125,0.00028752114047876263,0.0007673228820635429,4.687546148110505e-05,0.00040022600158440513,-8.213373954409807e-05,2.380851505076476e-05,-1.3495213196378725e-05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3fc-C21-C3an-C3b-C3fd-C3bb-C3s,869786,-0.02961828062301465,-0.005375053749851542,-0.005664538827348599,-0.0012690438700577876,-0.0007692376790930383,-0.0011663145032160386,0.0023591100337113573,-3.34702913607844e-06,0.0012800458121787891,0.001892034223926991,0.0010115910080291618,0.006984559858317997,1.5666230350412043e-05,4.6660637784420326e-05,0.0068195051601863945,-0.00017098123040467807,-0.0003129536312214948,0.0003795198614735385,0.00021488698665926898,0.0004419992366976813,0.00013214386273094385,0.00011044586214628659,2.2982500715578003e-06,-0.00012071808974943712,-0.00135039481929859,-1.403889301030181e-07,6.546489121631771e-08,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
