Species,n,mean_shuffCoef,se_shuffCoef,mean_propD,se_propD,mean_propD at multiple dhws
Acer,13,0,0,0,0,0.001
Cnat,40,0.313,0.071,0.279,0.07,0.256
Dlab,43,0.605,0.065,0.753,0.06,0.533
Mcav,60,0.733,0.049,0.682,0.054,0.588
Mmea,42,0.014,0.005,0,0,0
Ofav,63,0.474,0.055,0.823,0.045,0.756
Past,23,0.341,0.094,0.193,0.079,0.172
Ppor,32,0.281,0.065,0.09,0.043,0.105
Pstr,56,0.392,0.063,0.391,0.063,0.304
Sbou,57,0.025,0.018,0.001,0,0.001
Sint,67,0.321,0.045,0.175,0.04,0.403
Ssid,55,0.162,0.04,0.979,0.01,0.735